model_1_proba,model_2_proba,labels
0.9910046,0.999316,1
0.96263033,0.999292,1
0.9987676,0.999214,1
0.9999072,0.999119,1
0.6164143,0.678982,1
0.9999276,0.999147,1
0.99794424,0.999211,1
0.9997041,0.999388,1
0.99994314,0.999434,1
0.9967999,0.999409,1
0.99626595,0.998928,1
0.9801029,0.999351,1
0.935336,0.999327,1
0.9777447,0.926405,1
0.72270775,0.991434,1
0.74728036,0.999401,1
0.9986906,0.999439,1
0.9685296,0.981444,1
0.9955348,0.999359,1
0.998966,0.999227,1
0.96443546,0.99925,1
0.9160924,0.972368,1
0.99995434,0.998967,1
0.99676394,0.9987,1
0.9999715,0.999179,1
0.77852654,0.999314,1
0.9984769,0.999167,1
0.9997038,0.999089,1
0.98808193,0.99858,1
0.9999378,0.999251,1
0.95401776,0.99792,1
0.99963486,0.999012,1
0.99983007,0.999379,1
0.9852618,0.987977,1
0.99960756,0.999311,1
0.931672,0.946895,1
0.9999759,0.999231,1
0.9999994,0.999045,1
0.96344894,0.999034,1
0.99985516,0.999134,1
0.97986865,0.999383,1
0.99978244,0.999241,1
0.9984723,0.999344,1
0.9954462,0.999112,1
0.99785006,0.998397,1
0.99959165,0.998988,1
0.99973357,0.973641,1
0.9946512,0.998681,1
0.99825877,0.999142,1
0.9723535,0.998837,1
0.9851474,0.999019,1
0.9996925,0.99931,1
0.9998584,0.999261,1
0.95911396,0.998911,1
0.9995754,0.999014,1
0.9836868,0.999464,1
0.6855401,0.999096,1
0.9999243,0.999316,1
0.8991678,0.965797,1
0.09702411,0.999395,1
0.9989437,0.99906,1
0.9999995,0.998971,1
0.06281245,0.00276,1
0.070189595,0.342701,1
0.99996495,0.999107,1
0.8978431,0.999196,1
0.9950812,0.999014,1
0.9998635,0.362388,1
0.9953153,0.999086,1
0.9999312,0.999252,1
0.9488145,0.999229,1
0.99999046,0.999322,1
0.9998393,0.999125,1
0.98482007,0.999192,1
0.96149063,0.999436,1
0.91819,0.998939,1
0.9983913,0.999294,1
0.9665729,0.226306,1
0.99966264,0.99932,1
