model_1_proba,model_2_proba,labels
0.85491705,0.106099,1
0.9943812,0.990399,1
0.0016705096,0.033608,0
0.18922085,0.127247,0
0.0021601915,0.004732,0
0.99996245,0.998994,1
0.9868704,0.999354,1
0.9999882,0.999111,1
0.9245085,0.99288,1
0.43592066,0.006172,0
0.71542454,0.999286,1
0.12582478,0.010812,1
4.368501e-05,0.001763,0
0.98376673,0.999274,1
0.999876,0.999016,1
0.10365936,0.998675,1
0.99834347,0.999311,1
0.9999981,0.998998,1
0.014280468,0.00346,0
9.059071e-06,0.001944,0
0.022820562,0.005938,0
0.9996058,0.999245,1
0.9992112,0.490343,1
0.0009920895,0.000898,0
0.9978472,0.999357,1
0.9669269,0.999114,1
4.411573e-05,0.001296,0
0.9746356,0.999027,1
0.0008061528,0.001738,0
0.9993892,0.99921,1
0.9999993,0.998986,1
0.99997896,0.999328,1
2.5558743e-06,0.001164,0
0.9371993,0.9824,1
0.9996889,0.999046,1
0.99974024,0.996046,1
0.12908268,0.506633,0
0.99428904,0.23934,1
0.0030302405,0.001734,0
0.00385952,0.011437,0
0.010393828,0.003417,0
0.003767997,0.001207,0
2.650858e-05,0.007206,0
0.0017209351,0.015138,0
0.5005393,0.011421,1
0.9037316,0.077933,1
0.99760675,0.999333,1
0.98535657,0.999121,1
0.08387646,0.004902,0
0.034822285,0.999364,1
0.99840415,0.999064,1
0.021769583,0.010115,0
0.18963227,0.002613,0
0.4797398,0.007756,0
0.9997642,0.995705,1
0.62101114,0.028125,0
0.006341666,0.037309,0
0.00015759468,0.001322,0
0.99999285,0.998851,1
0.005867213,0.007121,0
0.00013902783,0.001491,0
0.0008844733,0.002298,0
0.99999213,0.99855,1
2.0128216e-05,0.001672,0
0.99355006,0.999158,1
0.990385,0.999191,1
0.9999485,0.998906,1
0.9907874,0.542562,1
0.008169919,0.006515,0
0.5478773,0.998408,1
0.4737083,0.274588,1
2.1468491e-05,0.002899,0
0.99993765,0.998702,1
0.0009236336,0.001794,1
0.83737934,0.057722,0
0.9941418,0.999304,1
0.25276136,0.068322,0
0.0017356277,0.003483,0
0.0046797097,0.007176,0
0.23920035,0.013884,0
0.8470104,0.945751,0
0.9987104,0.998691,1
0.69122875,0.999192,1
0.0034761727,0.001016,0
0.020611137,0.004641,0
0.09097606,0.013781,0
0.16874406,0.017603,0
0.60952425,0.999221,1
0.99995816,0.998991,1
0.9383303,0.974553,1
0.9127917,0.999308,1
0.9993443,0.999072,1
0.0030142367,0.00124,0
0.9996602,0.999319,1
0.9998707,0.99736,1
0.02048409,0.000902,0
0.99952686,0.979211,1
0.99953187,0.999186,1
0.989554,0.159691,1
5.5646804e-05,0.001652,0
0.99386907,0.999249,1
0.99972296,0.998833,1
0.99892867,0.999103,1
0.9998491,0.999206,1
0.9681151,0.99819,1
2.2645963e-05,0.001509,0
0.99882174,0.999041,1
0.0017458797,0.367733,1
0.9999993,0.999382,1
0.996665,0.99933,1
9.028096e-05,0.00294,0
0.011596441,0.952268,0
0.9998946,0.999186,1
0.000115894094,0.001983,0
0.97025996,0.999079,1
0.99561965,0.98613,1
0.34590092,0.016524,1
0.0008584559,0.00158,0
0.00059479475,0.001528,0
0.7906076,0.250041,0
1.989418e-06,0.001061,0
0.0047856867,0.002468,0
0.99954474,0.998959,1
0.9945199,0.998141,1
0.99982226,0.99938,1
0.9985602,0.998993,1
0.00073599815,0.002007,0
0.9951655,0.998877,1
0.023627758,0.003727,0
1.607908e-05,0.001952,0
0.99831927,0.999351,1
0.0042212307,0.954591,1
0.102149546,0.057105,0
0.9997914,0.999322,1
2.5784973e-05,0.002239,0
0.028797686,0.003553,0
0.053574413,0.006967,0
0.8167418,0.208158,0
0.040049076,0.000989,0
0.03915143,0.001317,0
0.99904895,0.999226,1
0.99879724,0.991691,1
0.09979969,0.999381,1
0.99987113,0.99898,1
0.981099,0.999146,1
0.0016428232,0.002116,0
5.693699e-05,0.00119,0
0.96095556,0.999125,1
0.0026814342,0.003258,0
0.99873424,0.999027,1
0.00034618378,0.039954,0
0.8328433,0.999,1
0.99999225,0.999163,1
0.0072895885,0.006541,0
0.00046366453,0.279678,0
4.415039e-06,0.001421,0
0.99903965,0.983749,1
0.99989426,0.998713,1
0.96567446,0.99893,1
0.959261,0.999286,1
0.00035965443,0.001277,0
0.42019477,0.018769,0
4.716575e-05,0.002182,0
0.9574591,0.999145,1
